iter	Logloss
0	0.6816359976
1	0.6718608794
2	0.6628011463
3	0.6545452661
4	0.6480704816
5	0.6414974955
6	0.6351930834
7	0.6300123703
8	0.6250631717
9	0.6207400395
10	0.616783328
11	0.6129372658
12	0.6100093818
13	0.6067114279
14	0.6039994789
15	0.6010975358
16	0.5988138504
17	0.5965184258
18	0.5943999381
19	0.59225791
20	0.5903775794
21	0.5883771043
22	0.5868390925
23	0.5853724025
24	0.5838761509
25	0.5821524246
26	0.5804449513
27	0.5791527083
28	0.5777829868
29	0.5764456014
30	0.5749123262
31	0.573921292
32	0.573024127
33	0.5718010033
34	0.5701617856
35	0.5689586098
36	0.568069683
37	0.5671234516
38	0.5658999287
39	0.5645647007
40	0.5636849686
41	0.562706054
42	0.5617181018
43	0.5606373323
44	0.5599488053
45	0.5589781958
46	0.5583707712
47	0.5573314918
48	0.55662475
49	0.5557790676
50	0.5549637135
51	0.5541847368
52	0.5536609038
53	0.5527908817
54	0.5519725111
55	0.5513919249
56	0.5506602981
57	0.5501079873
58	0.5494341561
59	0.5487927855
60	0.5481557231
61	0.5474154974
62	0.5466632164
63	0.5459443341
64	0.5452999165
65	0.5447022148
66	0.5437476459
67	0.5430180289
68	0.5422994716
69	0.5415617486
70	0.5410005165
71	0.5405229449
72	0.5399944771
73	0.5391502363
74	0.5386045758
75	0.538056453
76	0.5374967645
77	0.5368726992
78	0.5363839608
79	0.535842733
80	0.5353045103
81	0.5343710221
82	0.5339003993
83	0.5334275618
84	0.5327991791
85	0.5323664378
86	0.5317012737
87	0.5311484676
88	0.5307136107
89	0.5301549243
90	0.529437849
91	0.5289140831
92	0.5284233472
93	0.5280453447
94	0.5276716202
95	0.5272942251
96	0.5267775715
97	0.5261781828
98	0.5257525661
99	0.5253608626
