iter	Passed	Remaining
0	76	7531
1	91	4459
2	111	3597
3	130	3125
4	146	2784
5	165	2589
6	184	2453
7	203	2339
8	223	2257
9	239	2154
10	256	2071
11	277	2036
12	296	1986
13	314	1930
14	332	1882
15	353	1858
16	371	1816
17	396	1805
18	418	1784
19	436	1747
20	453	1705
21	469	1665
22	488	1636
23	509	1613
24	527	1581
25	546	1555
26	565	1529
27	588	1513
28	608	1488
29	627	1463
30	643	1432
31	659	1401
32	678	1376
33	706	1371
34	725	1347
35	742	1319
36	760	1295
37	777	1269
38	797	1247
39	816	1224
40	832	1198
41	852	1177
42	869	1152
43	887	1129
44	907	1108
45	925	1086
46	944	1065
47	963	1043
48	984	1024
49	1001	1001
50	1018	978
51	1034	955
52	1052	933
53	1071	912
54	1089	891
55	1110	872
56	1132	854
57	1155	836
58	1179	819
59	1200	800
60	1221	781
61	1241	760
62	1263	742
63	1284	722
64	1305	703
65	1327	683
66	1350	665
67	1367	643
68	1386	622
69	1404	601
70	1423	581
71	1439	559
72	1459	539
73	1479	519
74	1499	499
75	1519	479
76	1545	461
77	1563	441
78	1580	420
79	1598	399
80	1618	379
81	1636	359
82	1652	338
83	1670	318
84	1689	298
85	1707	277
86	1727	258
87	1746	238
88	1767	218
89	1790	198
90	1813	179
91	1841	160
92	1863	140
93	1893	120
94	1916	100
95	1937	80
96	1956	60
97	1976	40
98	1993	20
99	2010	0
